Id,drug,condition,numOfInstances,averageRating
0,Levonorgestrel,Birth Control,2129,7.061061531235322
1,Levonorgestrel,Emergency Contraception,1221,8.472563472563472
2,Levonorgestrel,Abnormal Uterine Bleeding,276,5.322463768115942
3,Levonorgestrel,Not Listed / Othe,5,7.0
4,Etonogestrel,Birth Control,3314,5.808992154496077
5,Etonogestrel,Endometriosis,7,4.0
6,Ethinyl estradiol / norethindrone,Birth Control,2337,5.658536585365853
7,Ethinyl estradiol / norethindrone,Acne,129,3.9069767441860463
8,Ethinyl estradiol / norethindrone,Menstrual Disorders,93,5.494623655913978
9,Ethinyl estradiol / norethindrone,Abnormal Uterine Bleeding,85,5.435294117647059
10,Ethinyl estradiol / norethindrone,Polycystic Ovary Syndrome,53,6.320754716981132
11,Ethinyl estradiol / norethindrone,Endometriosis,43,6.465116279069767
12,Ethinyl estradiol / norethindrone,Postmenopausal Symptoms,5,6.4
13,Ethinyl estradiol / norethindrone,Not Listed / Othe,5,4.8
14,Nexplanon,Birth Control,2149,5.679851093531875
15,Ethinyl estradiol / norgestimate,Birth Control,1580,5.9335443037974684
16,Ethinyl estradiol / norgestimate,Acne,215,5.897674418604651
17,Ethinyl estradiol / norgestimate,Abnormal Uterine Bleeding,148,4.45945945945946
18,Ethinyl estradiol / norgestimate,Ovarian Cysts,54,6.407407407407407
19,Ethinyl estradiol / norgestimate,Endometriosis,34,6.235294117647059
20,Ethinyl estradiol / norgestimate,Not Listed / Othe,2,2.0
21,Ethinyl estradiol / levonorgestrel,Birth Control,1600,5.903125
22,Ethinyl estradiol / levonorgestrel,Abnormal Uterine Bleeding,108,4.388888888888889
23,Ethinyl estradiol / levonorgestrel,Endometriosis,53,6.150943396226415
24,Ethinyl estradiol / levonorgestrel,Ovarian Cysts,20,6.0
25,Ethinyl estradiol / levonorgestrel,Polycystic Ovary Syndrome,18,5.111111111111111
26,Ethinyl estradiol / levonorgestrel,Premenstrual Syndrome,8,3.5
27,Ethinyl estradiol / levonorgestrel,Not Listed / Othe,2,2.5
28,Phentermine,Weight Loss,1211,8.799339388934765
29,Phentermine,Obesity,304,8.69078947368421
30,Phentermine,Not Listed / Othe,23,9.08695652173913
31,Sertraline,Depression,459,7.167755991285403
32,Sertraline,Anxiety and Stress,212,7.4575471698113205
33,Sertraline,Panic Disorde,206,7.932038834951456
34,Sertraline,Social Anxiety Disorde,153,7.457516339869281
35,Sertraline,Obsessive Compulsive Disorde,80,8.1875
36,Sertraline,Generalized Anxiety Disorde,58,7.724137931034483
37,Sertraline,Major Depressive Disorde,56,6.910714285714286
38,Sertraline,Post Traumatic Stress Disorde,48,7.166666666666667
39,Sertraline,Bipolar Disorde,30,7.433333333333334
40,Sertraline,Premenstrual Dysphoric Disorde,28,8.857142857142858
41,Sertraline,Postpartum Depression,10,8.4
42,Sertraline,Borderline Personality Disorde,4,7.0
43,Sertraline,Not Listed / Othe,2,8.5
44,Sertraline,Vulvodynia,2,10.0
45,Sertraline,Persistent Depressive Disorde,2,8.0
46,Sertraline,Dissociative Identity Disorde,1,10.0
47,Sertraline,Body Dysmorphic Disorde,1,1.0
48,Sertraline,Trichotillomania,1,10.0
49,Escitalopram,Anxiety,484,7.909090909090909
50,Escitalopram,Depression,380,7.613157894736842
51,Escitalopram,Generalized Anxiety Disorde,287,8.16376306620209
52,Escitalopram,Major Depressive Disorde,47,7.0
53,Escitalopram,Bipolar Disorde,29,6.931034482758621
54,Escitalopram,Obsessive Compulsive Disorde,27,8.814814814814815
55,Escitalopram,ibromyalgia,10,8.6
56,Escitalopram,Irritable Bowel Syndrome,6,7.833333333333333
57,Escitalopram,Premenstrual Dysphoric Disorde,6,9.166666666666666
58,Escitalopram,Not Listed / Othe,5,7.2
59,Escitalopram,Borderline Personality Disorde,2,8.5
60,Escitalopram,Body Dysmorphic Disorde,2,8.0
61,Escitalopram,Trichotillomania,2,5.0
62,Mirena,Birth Control,965,6.957512953367876
63,Mirena,Abnormal Uterine Bleeding,254,5.2204724409448815
64,Implanon,Birth Control,1095,6.073059360730594
65,Gabapentin,Anxiety,193,8.015544041450777
66,Gabapentin,Pain,176,6.4772727272727275
67,Gabapentin,ibromyalgia,98,6.653061224489796
68,Gabapentin,Peripheral Neuropathy,88,6.8977272727272725
69,Gabapentin,Neuropathic Pain,65,6.7384615384615385
70,Gabapentin,Bipolar Disorde,64,8.515625
71,Gabapentin,Hot Flashes,62,8.887096774193548
72,Gabapentin,Migraine,59,7.830508474576271
73,Gabapentin,Restless Legs Syndrome,47,8.297872340425531
74,Gabapentin,Insomnia,44,7.886363636363637
75,Gabapentin,Diabetic Peripheral Neuropathy,28,6.678571428571429
76,Gabapentin,Postherpetic Neuralgia,21,7.619047619047619
77,Gabapentin,Alcohol Withdrawal,18,8.722222222222221
78,Gabapentin,Trigeminal Neuralgia,17,8.764705882352942
79,Gabapentin,Reflex Sympathetic Dystrophy Syndrome,15,6.4
80,Gabapentin,Benign Essential Trem,8,7.0
81,Gabapentin,Not Listed / Othe,8,8.375
82,Gabapentin,Epilepsy,8,6.75
83,Gabapentin,Spondylolisthesis,7,6.0
84,Gabapentin,Vulvodynia,5,7.2
85,Gabapentin,Small Fiber Neuropathy,2,3.0
86,Gabapentin,Pruritus,2,7.0
87,Gabapentin,Cough,2,9.0
88,Gabapentin,Pudendal Neuralgia,1,4.0
89,Gabapentin,Syringomyelia,1,6.0
