Source,Target,Type,Weight
3175,10393,Undirected,1
3175,10313,Undirected,1
1419,10000,Undirected,1
1419,10313,Undirected,1
1419,10722,Undirected,1
1839,10092,Undirected,1
1839,10234,Undirected,1
2263,10092,Undirected,1
512,10500,Undirected,1
665,10087,Undirected,1
665,10241,Undirected,1
1734,10230,Undirected,1
1734,10092,Undirected,1
1734,10004,Undirected,1
257,10091,Undirected,1
257,10639,Undirected,1
257,10189,Undirected,1
257,10071,Undirected,1
257,10722,Undirected,1
257,10414,Undirected,1
257,10638,Undirected,1
257,10017,Undirected,1
257,10565,Undirected,1
257,10490,Undirected,1
257,10099,Undirected,1
1649,10240,Undirected,1
1649,10650,Undirected,1
1649,10478,Undirected,1
1649,10470,Undirected,1
1649,10091,Undirected,1
1173,10092,Undirected,1
1173,10234,Undirected,1
1173,10004,Undirected,1
1173,10561,Undirected,1
1173,10516,Undirected,1
1173,10580,Undirected,1
3036,10433,Undirected,1
3036,10786,Undirected,1
3036,10489,Undirected,1
3036,10649,Undirected,1
3036,10091,Undirected,1
3036,10203,Undirected,1
3036,10650,Undirected,1
3036,10099,Undirected,1
3036,10728,Undirected,1
3036,10111,Undirected,1
3036,10762,Undirected,1
3036,10722,Undirected,1
3036,10669,Undirected,1
1672,10189,Undirected,1
1672,10787,Undirected,1
1672,10099,Undirected,1
2365,10167,Undirected,1
2365,10169,Undirected,1
2365,10734,Undirected,1
2365,10735,Undirected,1
922,10165,Undirected,1
2132,10092,Undirected,1
1773,10489,Undirected,1
1773,10200,Undirected,1
1773,10765,Undirected,1
1773,10199,Undirected,1
3092,10744,Undirected,1
3092,10093,Undirected,1
193,10786,Undirected,1
193,10368,Undirected,1
193,10433,Undirected,1
193,10373,Undirected,1
193,10520,Undirected,1
193,10619,Undirected,1
193,10053,Undirected,1
193,10221,Undirected,1
193,10189,Undirected,1
193,10565,Undirected,1
193,10174,Undirected,1
193,10378,Undirected,1
193,10762,Undirected,1
193,10141,Undirected,1
193,10608,Undirected,1
193,10550,Undirected,1
193,10742,Undirected,1
193,10475,Undirected,1
193,10113,Undirected,1
193,10328,Undirected,1
1692,10091,Undirected,1
1692,10189,Undirected,1
1692,10649,Undirected,1
1692,10240,Undirected,1
1692,10099,Undirected,1
1692,10052,Undirected,1
1692,10565,Undirected,1
1692,10638,Undirected,1
1692,10433,Undirected,1
1692,10624,Undirected,1
1692,10176,Undirected,1
2147,10140,Undirected,1
303,10282,Undirected,1
303,10488,Undirected,1
3059,10368,Undirected,1
3059,10189,Undirected,1
3059,10786,Undirected,1
3059,10052,Undirected,1
3059,10648,Undirected,1
3059,10288,Undirected,1
3059,10414,Undirected,1
3059,10619,Undirected,1
1180,10092,Undirected,1
1180,10234,Undirected,1
1166,10627,Undirected,1
1166,10046,Undirected,1
1166,10606,Undirected,1
1166,10382,Undirected,1
1166,10605,Undirected,1
1166,10383,Undirected,1
1166,10085,Undirected,1
1166,10557,Undirected,1
1166,10680,Undirected,1
3015,10750,Undirected,1
353,10133,Undirected,1
353,10109,Undirected,1
353,10079,Undirected,1
353,10078,Undirected,1
353,10719,Undirected,1
353,10741,Undirected,1
353,10658,Undirected,1
353,10560,Undirected,1
353,10553,Undirected,1
353,10119,Undirected,1
353,10514,Undirected,1
353,10157,Undirected,1
353,10177,Undirected,1
353,10664,Undirected,1
353,10276,Undirected,1
353,10632,Undirected,1
353,10449,Undirected,1
1063,10317,Undirected,1
861,10000,Undirected,1
297,10524,Undirected,1
297,10052,Undirected,1
297,10679,Undirected,1
297,10461,Undirected,1
297,10368,Undirected,1
297,10648,Undirected,1
297,10463,Undirected,1
297,10221,Undirected,1
1536,10432,Undirected,1
1536,10146,Undirected,1
1536,10478,Undirected,1
2780,10189,Undirected,1
2780,10524,Undirected,1
2780,10490,Undirected,1
2780,10053,Undirected,1
2780,10091,Undirected,1
2780,10264,Undirected,1
2780,10414,Undirected,1
2780,10565,Undirected,1
2780,10670,Undirected,1
2780,10579,Undirected,1
2780,10213,Undirected,1
2780,10573,Undirected,1
2780,10099,Undirected,1
2780,10096,Undirected,1
2780,10762,Undirected,1
2780,10550,Undirected,1
2780,10727,Undirected,1
3038,10520,Undirected,1
3038,10571,Undirected,1
3217,10378,Undirected,1
2011,10509,Undirected,1
2011,10702,Undirected,1
2011,10627,Undirected,1
2011,10365,Undirected,1
2011,10786,Undirected,1
1029,10158,Undirected,1
1029,10100,Undirected,1
2027,10520,Undirected,1
2027,10142,Undirected,1
2033,10100,Undirected,1
2033,10160,Undirected,1
3088,10607,Undirected,1
3088,10091,Undirected,1
1289,10750,Undirected,1
1289,10496,Undirected,1
1289,10124,Undirected,1
1289,10695,Undirected,1
1289,10125,Undirected,1
1289,10505,Undirected,1
1289,10717,Undirected,1
1289,10714,Undirected,1
1289,10243,Undirected,1
1289,10715,Undirected,1
1289,10807,Undirected,1
774,10489,Undirected,1
774,10765,Undirected,1
721,10524,Undirected,1
721,10052,Undirected,1
721,10480,Undirected,1
721,10368,Undirected,1
721,10113,Undirected,1
721,10091,Undirected,1
721,10624,Undirected,1
721,10433,Undirected,1
721,10543,Undirected,1
721,10649,Undirected,1
721,10088,Undirected,1
721,10327,Undirected,1
721,10665,Undirected,1
721,10490,Undirected,1
721,10099,Undirected,1
721,10701,Undirected,1
1930,10446,Undirected,1
1930,10786,Undirected,1
3204,10189,Undirected,1
3204,10378,Undirected,1
3204,10264,Undirected,1
3204,10320,Undirected,1
3204,10052,Undirected,1
3204,10111,Undirected,1
3204,10053,Undirected,1
3204,10414,Undirected,1
3204,10490,Undirected,1
3204,10670,Undirected,1
3204,10524,Undirected,1
3204,10091,Undirected,1
3204,10128,Undirected,1
3204,10565,Undirected,1
3204,10786,Undirected,1
3204,10573,Undirected,1
3204,10071,Undirected,1
3204,10432,Undirected,1
3204,10762,Undirected,1
3204,10579,Undirected,1
